bigram	frequency
world bank	2454
project will	2035
value chains	1253
climate change	1205
op bp	1035
private sector	952
value chain	939
will also	879
project implementation	807
food security	734
financial management	699
agricultural sector	693
capacity building	679
technical assistance	675
project management	616
per cent	610
agriculture sector	573
component will	556
su re	534
rural areas	528
project activities	519
project area	515
rural development	492
proposed project	488
project cost	488
de la	479
ri ze	477
os ur	470
cl os	470
pu bl	469
bl ic	469
loan agreement	468
development objective	455
agricultural production	449
natural resources	449
will support	445
borrower shall	443
agricultural development	434
executing agency	431
mitigation measures	430
will include	425
set forth	404
pest management	403
bank group	387
agricultural productivity	380
safeguard policies	380
us million	372
development project	371
poverty reduction	369
eb lot	365
young people	357
social management	357
water resources	351
economic growth	334
development bank	333
will provide	318
support project	316
management plan	315
total project	303
activities will	295
involuntary resettlement	292
institutional capacity	290
will finance	290
agricultural value	289
environmental assessment	289
project design	289
will contribute	286
action plan	283
market access	276
will help	275
implementation arrangements	275
value addition	274
du projet	270
agricultural research	268
shall ensure	268
african development	264
per capita	264
org wsdocs	256
steering committee	256
wsdocs getdocument	256
procurement plan	254
indigenous peoples	249
natural habitats	242
smallholder farmers	240
project financing	239
implementing agency	234
chain development	233
risk management	231
amount amount	228
financial statements	224
social safeguards	222
consulting services	222
project coordination	221
lessons learned	213
cultural resources	213
service providers	210
project costs	209
social impacts	209
food safety	208
total cost	207
project id	207
project description	206
natural resource	205
performance indicators	203
country strategy	203
irrigation schemes	202
sustainable development	202
physical cultural	202
parent project	201
knowledge management	201
burkina faso	200
first disbursement	199
management unit	199
water management	198
proposed development	196
et de	195
per year	195
implementing agencies	192
resource management	190
national agricultural	190
additional financing	190
development partners	190
financial institutions	189
extension services	189
project preparation	188
sector development	188
economic analysis	188
usd million	185
water supply	183
agricultural transformation	180
development plan	180
project name	179
loan regulations	176
program will	176
ua million	176
agricultural products	175
financing agreement	175
logical framework	175
land acquisition	174
climate resilient	173
labor force	173
adf loan	173
sierra leone	173
project development	172
growth rate	172
food insecurity	172
du programme	172
public sector	170
borrower recipient	168
policy framework	165
production systems	162
climate resilience	161
bidding documents	161
economic development	159
climate smart	158
progress reports	157
org projects	156
business plans	156
will focus	156
nutrition security	155
management framework	155
adverse impacts	155
united nations	154
fiscal year	153
job creation	152
international waterways	152
financing gap	151
irrigation infrastructure	150
term review	150
information system	150
development programme	149
land area	149
financial services	149
management system	149
agriculture development	148
project beneficiaries	147
teams ez	147
com teams	147
lake chad	147
infrastructure development	145
food production	144
matching grants	144
inclusive growth	144
investment project	144
will ensure	144
id ezshare	143
layouts docidredir	143
team leader	143
service delivery	143
agricultural technologies	142
conditions precedent	142
agricultural entrepreneurship	141
irrigation systems	141
social risks	141
docnum http	141
public procurement	141
year year	141
safeguard policy	140
civil works	139
social impact	139
project information	138
market gardening	138
environmental impacts	138
project monitoring	138
practice manager	138
annex iii	138
value added	138
will continue	137
united states	137
animal health	137
land use	137
impact evaluation	137
smart agriculture	137
will take	136
project areas	135
bank will	135
project components	135
ff ic	134
will benefit	134
impact assessment	134
ic ia	134
development fund	134
disputed areas	134
agricultural practices	134
annual work	133
adf grant	133
private investment	133
rural roads	132
key results	132
competitive bidding	132
project completion	131
land tenure	131
enabling environment	130
irrigated agriculture	130
crop production	130
competitiveness project	129
total population	129
del programa	127
national level	127
management plans	126
storage facilities	126
long term	125
international development	125
resources management	125
loan proceeds	125
agricultural land	124
monitoring evaluation	124
among others	124
borrower client	124
country disclosure	124
supervision missions	124
rural infrastructure	123
country context	123
safeguards specialist	123
negative impacts	123
national development	122
nw washington	121
million people	121
general conditions	121
pid isds	121
youth employment	121
management practices	121
information contact	120
contact point	120
mise en	120
procurement system	119
bank policies	119
gender equality	118
economic empowerment	118
project team	118
par le	118
local communities	117
institutional context	117
bank document	117
emergency response	117
livestock production	117
advisory services	116
point world	116
implementation unit	116
agricultural extension	115
prepared updated	115
key stakeholders	114
human development	114
vocational training	114
poverty line	114
client recipient	114
environmental management	113
urban areas	113
skills development	112
force participation	112
social assessment	112
land management	111
grace period	111
vulnerable groups	111
change adaptation	111
rural poverty	111
grant agreement	111
project executing	111
completion report	111
rural population	111
special account	111
appraisal stage	111
gdp growth	110
civil society	110
ix ii	109
mortality rate	109
task team	109
policies triggered	109
per annum	109
local currency	108
foreign exchange	108
results matrix	107
social development	107
project interventions	107
financing will	107
south sudan	106
evaluation system	106
key performance	106
limited access	105
feed africa	105
development strategy	104
human capital	104
waterways op	104
total amount	104
areas op	104
expenditure category	103
legal framework	102
institutional support	102
technical support	102
internal rate	102
agricultural inputs	101
rural households	101
matching grant	101
will promote	100
will prepare	100
audit reports	100
institutional strengthening	100
gross domestic	100
development program	100
domestic product	100
executive board	99
resettlement action	99
rural communities	99
public services	99
context country	99
coordination unit	98
country director	98
market linkages	98
chain actors	98
ifad loan	98
operating costs	97
youth entrepreneurship	97
source amount	97
basic information	97
will require	97
development support	97
business environment	97
component name	96
also support	96
arable land	96
integrated pest	96
target group	96
agriculture project	96
loan account	96
annex ii	96
producer organizations	96
will work	96
states dollars	96
dans le	96
environmental safeguards	95
public goods	95
esmf will	95
grievance redress	95
financial partners	95
high value	95
small farmers	95
legal instruments	95
present value	94
new technologies	94
large scale	93
board date	93
system will	93
org wiki	93
et la	93
commercial agriculture	93
agriculture value	93
de las	93
requirements set	92
resettlement policy	92
net present	91
date prepared	91
estimated board	91
extreme poverty	91
development objectives	91
financial reports	91
et le	91
social protection	91
participatory approach	91
ta ble	91
international fund	91
pmu will	90
population growth	90
baseline situation	90
best practices	90
will cover	90
practice area	90
programme will	89
european union	89
resettlement op	89
land degradation	89
water resource	88
improvement project	88
based logical	88
internal control	88
management op	88
lon ha	88
data collection	88
living conditions	88
assessment op	87
increase agricultural	87
financial resources	87
habitats op	87
dams op	87
knowledge building	87
primary school	87
project coordinator	87
peoples op	87
action plans	87
resources op	87
shall provide	87
appraisal date	87
forests op	87
project data	87
legal instrument	86
recent years	86
feeder roads	86
risk mitigation	86
project steering	86
financial performance	86
measures related	86
procurement activities	86
basic project	86
resilient agriculture	86
technology transfer	86
physical contingencies	86
five years	85
financing source	85
monitoring reports	85
budget support	85
capacity development	85
le fonds	85
information document	84
et al	84
public investment	84
group financing	84
agricultural growth	84
industrial processing	84
technical annex	84
sustainable land	84
safeguards specialists	84
approval task	84
proposed financing	83
shared prosperity	83
estimated appraisal	83
integrated safeguards	83
literacy rate	83
soil fertility	83
central bank	83
take place	83
cashew nut	83
technical services	83
smallholder agriculture	82
risks mitigation	82
per hectare	82
economic diversification	82
agricultural activities	82
project support	82
sustainable agricultural	82
fiduciary risk	82
poverty rate	81
adult literacy	81
et des	81
small scale	81
piu will	81
policy issues	80
regulatory framework	80
development association	80
agricultural infrastructure	80
technology adoption	80
shall cause	80
million hectares	80
la mise	80
appraisal report	80
implementation manual	80
baseline scenario	79
et les	79
information systems	79
low productivity	79
economic indicators	79
manager manager	79
drinking water	79
rural finance	79
human resources	79
food products	79
date estimated	79
executive directors	79
safeguard issues	78
will improve	78
direct beneficiaries	78
good governance	78
local level	78
water use	78
irrigation water	78
work plan	77
improved access	77
six months	77
agriculture production	77
concept stage	77
nonconsulting services	77
review decision	77
project location	77
project summary	77
pour le	76
chains development	76
agricultural financing	76
will facilitate	76
might apply	76
partial assessment	76
irrigation scheme	76
adb may	76
subcomponent will	75
development policy	75
stage date	75
will allow	75
rural sector	75
support services	75
procurement specialist	75
ops table	75
aid coordination	75
producer groups	75
affected people	74
project appraisal	74
transformation project	74
selected value	74
business plan	74
country project	74
strategy paper	74
chad region	74
dans les	74
irrigation development	73
recipient shall	73
closing date	73
le projet	73
local authorities	73
financing arrangements	73
financing instrument	73
project include	73
beneficiaries will	73
region estimated	73
positive impacts	73
scale irrigation	73
project provinces	73
waste management	72
hiv aids	72
watershed management	72
de los	72
improved agricultural	72
business development	72
development plans	72
support programme	72
apply safeguard	72
implementation schedule	72
will build	72
impacts associated	71
operating regulations	71
environmental sustainability	71
financial analysis	71
project shall	71
will make	71
rural women	71
will use	70
program execution	70
public finance	70
resources will	70
phase ii	70
procedures manual	70
physical characteristics	70
soil erosion	70
project feasibility	69
document gn	69
dam safety	69
agricultural services	69
exchange rate	69
economic activities	69
agreement shall	69
protected areas	69
interest rate	69
estimated date	69
board approval	69
will lead	69
financed projects	69
et du	69
proposed operation	69
climate adaptation	68
improve access	68
will comprise	68
fisheries sector	68
agricultural insurance	68
results framework	68
executive summary	68
may november	68
inter alia	68
within days	68
support will	67
agricultural technology	67
public expenditure	67
production areas	67
instrument borrower	67
sensitivity analysis	67
sector investment	67
public debt	67
ii will	67
environmental protection	67
overall project	67
rural economy	67
technical solutions	67
access roads	67
date practice	66
safeguard analysis	66
counterpart funds	66
funded projects	66
evaluation plan	66
natural disasters	66
salient physical	66
west africa	66
food crops	66
commodity value	66
characteristics relevant	66
negotiated financing	66
potential environmental	66
will need	66
strategic thrust	66
key safeguard	66
harvest losses	66
nombre de	65
project objectives	65
investment costs	65
proposed program	65
processing facilities	65
policy dialogue	65
expected outcomes	65
environmental impact	65
market information	65
interventions will	65
economic opportunities	65
economic recovery	65
november may	64
eligible expenditures	64
du don	64
good agricultural	64
increased productivity	64
audit firm	64
committee will	64
procurement policy	64
management systems	64
democratic republic	64
base cost	64
agriculture organization	64
institutional framework	64
maratakka spillway	64
external audit	63
country partnership	63
safeguards instruments	63
tsf grant	63
structural transformation	63
assessment audit	63
implementation will	63
technical annexes	63
safeguards monitoring	63
program operating	63
group experience	63
nanni weir	63
comparative socio	63
research institute	63
institutional development	62
medium term	62
generating activities	62
annual financial	62
lo su	62
headed households	62
financing plan	62
project reports	62
jobs created	62
sustainable use	61
activities related	61
extreme weather	61
african agricultural	61
task teams	61
financial reporting	61
metric tons	61
annual growth	61
household income	61
management specialist	61
loan shall	61
small producers	61
average annual	61
year strategy	61
rural poor	61
will serve	61
community development	61
agricultural census	61
projects approval	61
eligibility criteria	61
sustainable management	60
du fonds	60
ghg emissions	60
climate variability	60
improved seeds	60
employment opportunities	60
project progress	60
alternatives explored	60
work plans	60
fund shall	60
recurrent costs	60
otherwise agree	60
american development	60
financial sector	60
first phase	60
total financing	60
implementing partners	59
staff will	59
development goals	59
el programa	59
environmental category	59
water harvesting	59
regional level	59
poverty rates	59
lon pr	59
site specific	59
programme implementation	59
rural economic	59
commercial banks	59
weather events	59
monitoring report	59
government agencies	59
regional development	59
development indicators	59
food processing	59
concept note	59
