corpus,smallholder,^small\Wfarm,^small\Wholder,^small\Wproduce,^small\Wscale,^small\Wand\Wmedium
author-AfDB,2.351,0.353,0.123,0.282,0.212,0.459
author-AsDB,0.0,0.0,0.0,0.0,0.144,0.0
author-IDB,1.348,1.213,0.0,1.213,0.134,0.269
author-IFAD,10.831,1.044,0.054,0.329,0.109,0.274
author-World-Bank,6.355,0.732,0.166,0.316,1.031,1.314
date-2015,7.186,0.604,0.201,1.074,0.402,1.074
date-2016,6.693,1.266,0.18,0.361,0.18,0.814
date-2017,5.279,0.824,0.212,0.259,0.542,0.707
date-2018,4.617,0.765,0.024,0.148,0.592,0.444
date-2019,2.486,0.276,0.092,0.613,0.583,1.013
date-2020,0.771,0.171,0.0,0.085,0.428,0.428
date-2021,14.409,0.288,0.0,0.288,0.0,0.864
region-Africa,5.266,0.363,0.124,0.249,0.498,0.56
region-Asia,4.616,0.839,0.161,0.258,0.677,1.259
region-Latin-America-and-Caribbean,1.982,1.321,0.041,1.073,0.371,0.743
region-Middle-East,6.623,1.558,0.0,0.194,0.194,0.584
